,alt,lat,long,time,trajIndex
0,0.0,32.1780030137154,34.91186863855528,0,0
1,0.0,32.17800837608927,34.91185532840927,1,0
2,0.0,32.178010879809946,34.91184089762135,2,0
3,0.0,32.17801640383419,34.91182767918361,3,0
4,0.0,32.17800393804887,34.91182912084219,4,0
5,0.0,32.177991965161276,34.91182479282621,5,0
6,0.0,32.17798880908215,34.911839045651895,6,0
7,0.0,32.17798465770017,34.911852941258104,7,0
8,0.0,32.17798468340188,34.911867669225046,8,0
9,0.0,32.177986653870335,34.91188221384642,9,0
10,0.0,32.17798900657819,34.911896679718204,10,0
11,0.0,32.17798702572889,34.91191122239039,11,0
12,0.0,32.17798732849875,34.91192594608563,12,0
13,0.0,32.17799031227536,34.911940250127124,13,0
14,0.0,32.177994798612744,34.91195400105294,14,0
15,0.0,32.17799337140123,34.911968633137455,15,0
16,0.0,32.177992406754306,34.91198331739707,16,0
17,0.0,32.17798656156678,34.91197029130938,17,0
18,0.0,32.17798852836913,34.911955746001716,18,0
19,0.0,32.17798963462432,34.91194107555409,19,0
20,0.0,32.177985698064155,34.91192709378264,20,0
21,0.0,32.17798782550265,34.91191257976455,21,0
22,0.0,32.177990208304514,34.91189812070405,22,0
23,0.0,32.177991171991344,34.911883436357634,23,0
24,0.0,32.17799336173152,34.911868935154324,24,0
25,0.0,32.17798835549838,34.91185543459563,25,0
26,0.0,32.17799787351703,34.91184586019908,26,0
27,0.0,32.17800317489585,34.91183251631662,27,0
28,0.0,32.178015700825455,34.91183249836407,28,0
29,0.0,32.178003268292535,34.91183070309348,29,0
30,0.0,32.17799085494504,34.91183267337457,30,0
31,0.0,32.17798422307942,34.91182017901285,31,0
32,0.0,32.17798384034864,34.911805457891724,32,0
33,0.0,32.177985997567816,34.91179094995235,33,0
34,0.0,32.177990716604334,34.911777307133626,34,0
35,0.0,32.177992427279214,34.91176271713089,35,0
36,0.0,32.17798994546626,34.911748281114974,36,0
37,0.0,32.177992797120424,34.911733939862785,37,0
38,0.0,32.17799883305576,34.91172103459977,38,0
39,0.0,32.177986372376346,34.91172253604394,39,0
40,0.0,32.17798411939388,34.91173702384658,40,0
41,0.0,32.17798421580463,34.91175175140818,41,0
42,0.0,32.177984027996786,34.91176647775048,42,0
43,0.0,32.17798549107073,34.9117811049359,43,0
44,0.0,32.177992087363776,34.91179362530452,44,0
45,0.0,32.17799753219986,34.91180688908508,45,0
46,0.0,32.17799600976986,34.91182150789551,46,0
47,0.0,32.17799252853319,34.911835655664596,47,0
48,0.0,32.177995587379264,34.91184993776875,48,0
49,0.0,32.1780004444687,34.91186351344009,49,0
50,0.0,32.178004327954284,34.91187751571843,50,0
51,0.0,32.177993413750016,34.91188474275743,51,0
52,0.0,32.177997656732266,34.91189860006108,52,0
53,0.0,32.17799705743599,34.91191331119457,53,0
54,0.0,32.177991648847645,34.911926595462226,54,0
55,0.0,32.177990436371125,34.91194125430028,55,0
56,0.0,32.17798673199759,34.91195532351032,56,0
57,0.0,32.17798874167973,34.91196986071239,57,0
58,0.0,32.17798642717924,34.91198433510275,58,0
59,0.0,32.1779893542461,34.91197001487168,59,0
60,0.0,32.177988871613124,34.91195529780977,60,0
61,0.0,32.177987624639314,34.911940642973626,61,0
62,0.0,32.17798954774776,34.91192608959058,62,0
63,0.0,32.17798941905244,34.91191136236923,63,0
64,0.0,32.17798826647359,34.91189669685286,64,0
65,0.0,32.17798727183977,34.91188201536007,65,0
66,0.0,32.17798713840542,34.91186728819739,66,0
67,0.0,32.17798762685652,34.91185257140114,67,0
68,0.0,32.17799078047246,34.911838317821896,68,0
69,0.0,32.17798492937528,34.911825295402984,69,0
70,0.0,32.17798709745308,34.911810789701406,70,0
71,0.0,32.17798510964855,34.91179624834164,71,0
72,0.0,32.17798583682213,34.911781545182656,72,0
73,0.0,32.17798460882221,34.91176688813212,73,0
74,0.0,32.1779863748226,34.911752307246395,74,0
75,0.0,32.177989127887614,34.91173793938568,75,0
76,0.0,32.17799233757903,34.9117237031216,76,0
77,0.0,32.17800486304525,34.9117238310745,77,0
78,0.0,32.17801720473835,34.911721314269435,78,0
79,0.0,32.17802967897846,34.91172265100437,79,0
