,alt,lat,long,time,trajIndex
0,0.0,32.17801144918337,34.9122311746072,0,0
1,0.0,32.17798815670834,34.91224201859493,2,0
2,0.0,32.17799237473416,34.91227105406664,4,0
3,0.0,32.17799659275998,34.9123000895397,6,0
4,0.0,32.1780008107858,34.91232912501409,8,0
5,0.0,32.178005028811604,34.912358160489816,10,0
6,0.0,32.178009246837405,34.912387195966886,12,0
7,0.0,32.17801346486321,34.9124162314453,14,0
8,0.0,32.17801768288902,34.91244526692505,16,0
9,0.0,32.178021900914814,34.91247430240613,18,0
10,0.0,32.17800846402836,34.912499162914216,20,0
11,0.0,32.177995027141876,34.91252402341865,22,0
12,0.0,32.177971256908656,34.91253332433033,24,0
13,0.0,32.17794748667535,34.9125426252396,26,0
14,0.0,32.177937483792235,34.91251561922637,28,0
15,0.0,32.177940059401806,34.91254491911746,30,0
16,0.0,32.177942635011384,34.912574219009365,32,0
17,0.0,32.17794521062096,34.9126035189021,34,0
18,0.0,32.17794778623053,34.912632818795664,36,0
19,0.0,32.17795036184011,34.912662118690044,38,0
20,0.0,32.177952937449675,34.912691418585254,40,0
21,0.0,32.177955513059246,34.91272071848129,42,0
22,0.0,32.17795808866881,34.91275001837814,44,0
23,0.0,32.17796066427837,34.912779318275824,46,0
24,0.0,32.177963239887944,34.91280861817433,48,0
25,0.0,32.17796581549751,34.91283791807366,50,0
26,0.0,32.17796839110707,34.91286721797382,52,0
27,0.0,32.17794832252822,34.912884849037866,54,0
28,0.0,32.17796347379858,34.91286139086165,56,0
29,0.0,32.17796886045511,34.9128326238582,58,0
30,0.0,32.17795560721369,34.91280762744823,60,0
31,0.0,32.17794235397224,34.912782631041885,62,0
32,0.0,32.17792910073077,34.912757634639156,64,0
33,0.0,32.17793275452375,34.91272849363765,66,0
34,0.0,32.17793640831673,34.91269935263498,68,0
35,0.0,32.17794006210971,34.912670211631145,70,0
36,0.0,32.17794371590269,34.91264107062615,72,0
37,0.0,32.177947369695666,34.91261192961999,74,0
38,0.0,32.17795102348864,34.912582788612674,76,0
39,0.0,32.177954677281605,34.912553647604184,78,0
40,0.0,32.177958331074564,34.912524506594536,80,0
41,0.0,32.17796198486752,34.91249536558372,82,0
42,0.0,32.17796563866048,34.912466224571745,84,0
43,0.0,32.17797716411111,34.912440071006245,86,0
44,0.0,32.17798868956172,34.912413917437455,88,0
45,0.0,32.17800021501231,34.91238776386537,90,0
46,0.0,32.17801174046288,34.912361610289985,92,0
47,0.0,32.17802326591343,34.91233545671131,94,0
48,0.0,32.178017486149514,34.91230679536428,96,0
49,0.0,32.178011706385604,34.91227813401906,98,0
50,0.0,32.17800592662168,34.91224947267565,100,0
51,0.0,32.17798861336067,34.912228182978915,102,0
52,0.0,32.17801194876944,34.9122388985946,104,0
53,0.0,32.17802528987593,34.91226383031644,106,0
54,0.0,32.17802057354878,34.91223490101814,108,0
55,0.0,32.17799568629473,34.91223827234075,110,0
56,0.0,32.177991484737106,34.91226731111433,112,0
57,0.0,32.17798728317949,34.91229634988657,114,0
58,0.0,32.177983081621875,34.91232538865748,116,0
59,0.0,32.17799113814993,34.912353279884854,118,0
60,0.0,32.17799919467798,34.91238117111469,120,0
61,0.0,32.1779878445853,34.912257537944,0,1
62,0.0,32.177998647848966,34.91228411430414,2,1
63,0.0,32.1780094511126,34.91231069066742,4,1
64,0.0,32.17802025437623,34.912337267033834,6,1
65,0.0,32.17802325261528,34.912366511322865,8,1
66,0.0,32.17801098833391,34.912392196141866,10,1
67,0.0,32.17799872405251,34.91241788095742,12,1
68,0.0,32.17798645977109,34.912443565769536,14,1
69,0.0,32.17797419548965,34.91246925057821,16,1
70,0.0,32.17796193120818,34.91249493538345,18,1
71,0.0,32.17794966692669,34.912520620185234,20,1
72,0.0,32.17793740264518,34.91254630498357,22,1
73,0.0,32.17792906048466,34.91257407986441,24,1
74,0.0,32.1779342634867,34.91260289355231,26,1
75,0.0,32.17793946648873,34.91263170724185,28,1
76,0.0,32.177944669490756,34.912660520933024,30,1
77,0.0,32.17794987249278,34.91268933462584,32,1
78,0.0,32.17795507549481,34.91271814832029,34,1
79,0.0,32.17796027849683,34.91274696201638,36,1
80,0.0,32.17796548149885,34.91277577571411,38,1
81,0.0,32.17797068450086,34.912804589413476,40,1
82,0.0,32.17797261064281,34.91283395821192,42,1
83,0.0,32.177968304065686,34.91286297570059,44,1
84,0.0,32.177951836664406,34.91288517376582,46,1
85,0.0,32.1779270408465,34.91288097301624,48,1
86,0.0,32.177932037673656,34.91285210892253,50,1
87,0.0,32.17793703450081,34.91282324482724,52,1
88,0.0,32.17794203132796,34.91279438073037,54,1
89,0.0,32.1779470281551,34.91276551663192,56,1
90,0.0,32.17795202498224,34.9127366525319,58,1
91,0.0,32.17795702180938,34.9127077884303,60,1
92,0.0,32.17796201863651,34.91267892432713,62,1
93,0.0,32.17796701546363,34.91265006022238,64,1
94,0.0,32.17797201229075,34.912621196116056,66,1
95,0.0,32.17797391419129,34.91265056709901,68,1
96,0.0,32.177966825716354,34.91267881934525,70,1
97,0.0,32.17795973724141,34.91270707158931,72,1
98,0.0,32.17795264876646,34.91273532383118,74,1
99,0.0,32.17794556029149,34.91276357607086,76,1
100,0.0,32.17793847181651,34.91279182830836,78,1
101,0.0,32.17793138334152,34.91282008054366,80,1
102,0.0,32.17793313983269,34.912849464030785,82,1
103,0.0,32.17793489632385,34.91287884751846,84,1
104,0.0,32.1779272338504,34.91285080321347,86,1
105,0.0,32.17793487756865,34.9128227518335,88,1
106,0.0,32.17794252128691,34.91279470045119,90,1
107,0.0,32.17795016500515,34.912766649066526,92,1
108,0.0,32.17795780872338,34.91273859767952,94,1
109,0.0,32.1779654524416,34.91271054629018,96,1
110,0.0,32.17797309615981,34.91268249489848,98,1
111,0.0,32.177972788751354,34.91265304112411,100,1
112,0.0,32.177972481342906,34.91262358734983,102,1
113,0.0,32.17797217393445,34.912594133575645,104,1
114,0.0,32.17797186652601,34.91256467980156,106,1
115,0.0,32.177971559117566,34.91253522602758,108,1
116,0.0,32.177971251709124,34.912505772253695,110,1
117,0.0,32.177970944300675,34.912476318479904,112,1
118,0.0,32.17797063689223,34.91244686470622,114,1
119,0.0,32.177977224406995,34.91241844532556,116,1
120,0.0,32.17798381192173,34.91239002594285,118,1
121,0.0,32.17799039943647,34.9123616065581,120,1
122,0.0,32.177949353494185,34.91263363096382,0,2
123,0.0,32.17793464015592,34.91265747141644,2,2
124,0.0,32.17793601548057,34.912686882974164,4,2
125,0.0,32.17793739080523,34.91271629453233,6,2
126,0.0,32.1779387661299,34.91274570609094,8,2
127,0.0,32.177940141454556,34.912775117649986,10,2
128,0.0,32.17794151677922,34.912804529209474,12,2
129,0.0,32.17794289210388,34.91283394076941,14,2
130,0.0,32.177944267428536,34.91286335232978,16,2
131,0.0,32.17793055864615,34.912888006737845,18,2
132,0.0,32.177930036392674,34.91285855716082,20,2
133,0.0,32.177929514139194,34.91282910758395,22,2
134,0.0,32.177928991885715,34.912799658007266,24,2
135,0.0,32.177928469632235,34.912770208430736,26,2
136,0.0,32.17792794737875,34.91274075885438,28,2
137,0.0,32.17792952319528,34.91271136120817,30,2
138,0.0,32.177931099011815,34.91268196356144,32,2
139,0.0,32.17793267482834,34.91265256591421,34,2
140,0.0,32.17793425064488,34.912623168266464,36,2
141,0.0,32.17793582646142,34.912593770618216,38,2
142,0.0,32.177937402277955,34.91256437296946,40,2
143,0.0,32.177938978094495,34.9125349753202,42,2
144,0.0,32.177940553911036,34.91250557767044,44,2
145,0.0,32.17794212972757,34.912476180020164,46,2
146,0.0,32.1779437055441,34.912446782369386,48,2
147,0.0,32.17794269761772,34.91247621450149,50,2
148,0.0,32.17794168969135,34.91250564663327,52,2
149,0.0,32.17794068176497,34.912535078764726,54,2
150,0.0,32.177939673838594,34.91256451089586,56,2
151,0.0,32.17793866591221,34.91259394302668,58,2
152,0.0,32.17793765798583,34.91262337515717,60,2
153,0.0,32.17793665005945,34.91265280728734,62,2
154,0.0,32.17793564213307,34.91268223941718,64,2
155,0.0,32.177934634206686,34.912711671546695,66,2
156,0.0,32.1779336262803,34.91274110367589,68,2
157,0.0,32.17793261835392,34.91277053580476,70,2
