,mac,range,time
0,44:85:00:c5:6a:fc,27.05,1496070000000000.0
1,e4:b3:18:9f:bf:a5,6.07,1496070000000000.0
2,e4:b3:18:9f:c1:8a,12.95,1496070000000000.0
