mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:bf:87,1488809474482205,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:b3,1488809474482205,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:69:d5,1488809474482205,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:67:3c,1488809474482205,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:b4,1488809474968313,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6c:19,1488809474968314,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:69:a8,1488809474968313,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:67:37,1488809475403461,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:4e,1488809475403462,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:99,1488809475403461,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:fc,1488809475455196,-58,0,0,0,0,550,0,0,SUCCESS,0.00E+00
44:85:00:c5:69:da,1488809475467434,-63,0,0,0,0,551,0,0,SUCCESS,0.00E+00
44:85:00:c5:6b:74,1488809475482215,-72,0,0,0,0,773,0,0,SUCCESS,0.00E+00
44:85:00:c5:6b:83,1488809475773769,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:a5,1488809475762314,-75,0,0,0,0,2705,0,0,SUCCESS,0.00E+00
e4:b3:18:9f:c1:8a,1488809476504434,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:91,1488809476504435,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6b:6f,1488809476504435,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:53,1488809476504435,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6b:7e,1488809476504435,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:e8,1488809477246608,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:d6,1488809477246610,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:de,1488809477246610,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6b:10,1488809477246610,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:f5,1488809477246610,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:63:ec,1488809478331516,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:63:e2,1488809478331515,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:62:a2,1488809478331516,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
