,mac,range,time
0,44:85:00:c5:6a:fc,31.8,1488890000000000.0
1,e4:b3:18:9f:c1:8a,11.51,1488890000000000.0
2,e4:b3:18:9f:bf:91,8.29,1488890000000000.0
3,44:85:00:c5:6b:6f,41.4,1488890000000000.0
4,e4:b3:18:9f:bf:f5,20.35,1488890000000000.0
