,mac,range,time
0,44:85:00:c5:6a:fc,31.64,1488810000000000.0
1,44:85:00:c5:6b:83,10.39,1488810000000000.0
2,e4:b3:18:9f:bf:a5,2.87,1488810000000000.0
3,e4:b3:18:9f:c1:8a,14.84,1488810000000000.0
4,e4:b3:18:9f:bf:91,7.5,1488810000000000.0
