mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:bf:af,1496401974551678,83,0,0,0,0,1802,0,0,SUCCESS,8.63571E+11
e4:b3:18:9f:c0:36,1496401974564211,78,0,0,0,0,2118,0,0,SUCCESS,8.63571E+11
e4:b3:18:9f:bf:96,1496401974846257,0,0,0,0,0,0,0,0,FAILURE,8.63571E+11
e4:b3:18:9f:c1:8f,1496401974706645,48,0,0,0,0,-30,0,0,SUCCESS,8.63571E+11
e4:b3:18:9f:c0:04,1496401974846252,0,0,0,0,0,0,0,0,FAILURE,8.63571E+11
e4:b3:18:9f:c0:18,1496401974881419,83,0,0,0,0,3916,0,0,SUCCESS,8.63571E+11
e4:b3:18:9f:bf:87,1496401975291970,0,0,0,0,0,0,0,0,FAILURE,8.63572E+11
e4:b3:18:9f:c0:b3,1496401975023760,68,0,0,0,0,443,0,0,SUCCESS,8.63572E+11
44:85:00:c5:69:d5,1496401975291963,0,0,0,0,0,0,0,0,FAILURE,8.63572E+11
44:85:00:c5:67:3c,1496401975291989,0,0,0,0,0,0,0,0,FAILURE,8.63572E+11
e4:b3:18:9f:bf:b4,1496401975851135,0,0,0,0,0,0,0,0,FAILURE,8.63572E+11
44:85:00:c5:6c:19,1496401975851132,0,0,0,0,0,0,0,0,FAILURE,8.63572E+11
44:85:00:c5:69:a8,1496401975851127,0,0,0,0,0,0,0,0,FAILURE,8.63572E+11
44:85:00:c5:67:37,1496401975851124,0,0,0,0,0,0,0,0,FAILURE,8.63572E+11
e4:b3:18:9f:c1:4e,1496401975841571,69,0,0,0,0,1321,0,0,SUCCESS,8.63572E+11
e4:b3:18:9f:c1:99,1496401975891256,75,0,0,0,0,1015,0,0,SUCCESS,8.63572E+11
e4:b3:18:9f:bf:af,1496401976180741,80,0,0,0,0,1937,0,0,SUCCESS,8.63573E+11
e4:b3:18:9f:c0:36,1496401976193183,79,0,0,0,0,2517,0,0,SUCCESS,8.63573E+11
e4:b3:18:9f:bf:96,1496401976475193,0,0,0,0,0,0,0,0,FAILURE,8.63573E+11
e4:b3:18:9f:c1:8f,1496401976333461,37,0,0,0,0,-81,0,0,SUCCESS,8.63573E+11
e4:b3:18:9f:c0:04,1496401976475187,0,0,0,0,0,0,0,0,FAILURE,8.63573E+11
e4:b3:18:9f:c0:18,1496401976934814,0,0,0,0,0,0,0,0,FAILURE,8.63573E+11
e4:b3:18:9f:bf:87,1496401976934809,0,0,0,0,0,0,0,0,FAILURE,8.63573E+11
e4:b3:18:9f:c0:b3,1496401976667172,68,0,0,0,0,442,0,0,SUCCESS,8.63573E+11
44:85:00:c5:69:d5,1496401976934798,0,0,0,0,0,0,0,0,FAILURE,8.63573E+11
44:85:00:c5:67:3c,1496401976934796,0,0,0,0,0,0,0,0,FAILURE,8.63573E+11
e4:b3:18:9f:bf:b4,1496401977501823,0,0,0,0,0,0,0,0,FAILURE,8.63574E+11
44:85:00:c5:6c:19,1496401977501823,0,0,0,0,0,0,0,0,FAILURE,8.63574E+11
44:85:00:c5:69:a8,1496401977501819,0,0,0,0,0,0,0,0,FAILURE,8.63574E+11
44:85:00:c5:67:37,1496401977501816,0,0,0,0,0,0,0,0,FAILURE,8.63574E+11
e4:b3:18:9f:c1:4e,1496401977484217,65,0,0,0,0,1153,0,0,SUCCESS,8.63574E+11
e4:b3:18:9f:c1:99,1496401977539231,77,0,0,0,0,1040,0,0,SUCCESS,8.63574E+11
e4:b3:18:9f:bf:af,1496401978237595,0,0,0,0,0,0,0,0,FAILURE,8.63575E+11
e4:b3:18:9f:c0:36,1496401977957309,80,0,0,0,0,2414,0,0,SUCCESS,8.63574E+11
e4:b3:18:9f:bf:96,1496401978237586,0,0,0,0,0,0,0,0,FAILURE,8.63575E+11
e4:b3:18:9f:c1:8f,1496401978098039,38,0,0,0,0,-178,0,0,SUCCESS,8.63575E+11
e4:b3:18:9f:c0:04,1496401978237579,0,0,0,0,0,0,0,0,FAILURE,8.63575E+11
e4:b3:18:9f:c0:18,1496401978700082,0,0,0,0,0,0,0,0,FAILURE,8.63575E+11
e4:b3:18:9f:bf:87,1496401978700075,0,0,0,0,0,0,0,0,FAILURE,8.63575E+11
e4:b3:18:9f:c0:b3,1496401978432578,72,0,0,0,0,294,0,0,SUCCESS,8.63575E+11
44:85:00:c5:69:d5,1496401978700069,0,0,0,0,0,0,0,0,FAILURE,8.63575E+11
44:85:00:c5:67:3c,1496401978700066,0,0,0,0,0,0,0,0,FAILURE,8.63575E+11
e4:b3:18:9f:bf:b4,1496401979263112,0,0,0,0,0,0,0,0,FAILURE,8.63576E+11
44:85:00:c5:6c:19,1496401979263109,0,0,0,0,0,0,0,0,FAILURE,8.63576E+11
44:85:00:c5:69:a8,1496401979263103,0,0,0,0,0,0,0,0,FAILURE,8.63576E+11
44:85:00:c5:67:37,1496401979263099,0,0,0,0,0,0,0,0,FAILURE,8.63576E+11
e4:b3:18:9f:c1:4e,1496401979251784,67,0,0,0,0,1076,0,0,SUCCESS,8.63576E+11
