mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:c1:99,1496395312898768,0,0,0,0,0,0,0,0,FAILURE,856909428768
e4:b3:18:9f:bf:af,1496395313709655,0,0,0,0,0,0,0,0,FAILURE,856910239655
e4:b3:18:9f:c0:36,1496395313709649,0,0,0,0,0,0,0,0,FAILURE,856910239649
e4:b3:18:9f:bf:96,1496395313709642,0,0,0,0,0,0,0,0,FAILURE,856910239642
e4:b3:18:9f:c1:8f,1496395313709638,0,0,0,0,0,0,0,0,FAILURE,856910239638
e4:b3:18:9f:c0:04,1496395313694659,69,0,0,0,0,-4864,0,0,SUCCESS,856910224659
e4:b3:18:9f:c0:18,1496395313745785,84,0,0,0,0,2530,0,0,SUCCESS,856910275785
e4:b3:18:9f:bf:87,1496395314270634,0,0,0,0,0,0,0,0,FAILURE,856910800634
e4:b3:18:9f:c0:b3,1496395314270559,0,0,0,0,0,0,0,0,FAILURE,856910800559
44:85:00:c5:69:d5,1496395314270555,0,0,0,0,0,0,0,0,FAILURE,856910800555
44:85:00:c5:67:3c,1496395314270547,0,0,0,0,0,0,0,0,FAILURE,856910800547
e4:b3:18:9f:bf:b4,1496395314314085,81,0,0,0,0,1034,0,0,SUCCESS,856910844085
44:85:00:c5:6c:19,1496395314338104,72,0,0,0,0,1111,0,0,SUCCESS,856910868104
44:85:00:c5:69:a8,1496395314356885,70,0,0,0,0,532,0,0,SUCCESS,856910886885
44:85:00:c5:67:37,1496395314369228,51,0,0,0,0,482,0,0,SUCCESS,856910899228
e4:b3:18:9f:c1:4e,1496395314508939,0,0,0,0,0,0,0,0,FAILURE,856911038939
e4:b3:18:9f:c1:99,1496395314677647,0,0,0,0,0,0,0,0,FAILURE,856911207647
e4:b3:18:9f:bf:af,1496395315491950,0,0,0,0,0,0,0,0,FAILURE,856912021950
e4:b3:18:9f:c0:36,1496395315491946,0,0,0,0,0,0,0,0,FAILURE,856912021946
e4:b3:18:9f:bf:96,1496395315491998,0,0,0,0,0,0,0,0,FAILURE,856912021997
e4:b3:18:9f:c1:8f,1496395315491934,0,0,0,0,0,0,0,0,FAILURE,856912021934
e4:b3:18:9f:c0:04,1496395315477506,63,0,0,0,0,1486,0,0,SUCCESS,856912007506
e4:b3:18:9f:c0:18,1496395315530262,83,0,0,0,0,2967,0,0,SUCCESS,856912060262
e4:b3:18:9f:bf:87,1496395316057421,0,0,0,0,0,0,0,0,FAILURE,856912587421
e4:b3:18:9f:c0:b3,1496395316057413,0,0,0,0,0,0,0,0,FAILURE,856912587413
44:85:00:c5:69:d5,1496395316057430,0,0,0,0,0,0,0,0,FAILURE,856912587430
44:85:00:c5:67:3c,1496395316057407,0,0,0,0,0,0,0,0,FAILURE,856912587406
e4:b3:18:9f:bf:b4,1496395316097706,85,0,0,0,0,1074,0,0,SUCCESS,856912627706
44:85:00:c5:6c:19,1496395316120220,64,0,0,0,0,1049,0,0,SUCCESS,856912650220
