mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:bf:af,1496404357795766,0,0,0,0,0,0,0,0,FAILURE,8.65954E+11
e4:b3:18:9f:c0:36,1496404357795763,0,0,0,0,0,0,0,0,FAILURE,8.65954E+11
e4:b3:18:9f:bf:96,1496404357642898,73,0,0,0,0,1309,0,0,SUCCESS,8.65954E+11
e4:b3:18:9f:c1:8f,1496404357795752,0,0,0,0,0,0,0,0,FAILURE,8.65954E+11
e4:b3:18:9f:c0:04,1496404357783883,58,0,0,0,0,775,0,0,SUCCESS,8.65954E+11
e4:b3:18:9f:c0:18,1496404357833620,55,0,0,0,0,509,0,0,SUCCESS,8.65954E+11
e4:b3:18:9f:bf:87,1496404357845837,81,0,0,0,0,1847,0,0,SUCCESS,8.65954E+11
e4:b3:18:9f:c0:b3,1496404358243990,0,0,0,0,0,0,0,0,FAILURE,8.65955E+11
44:85:00:c5:69:d5,1496404358243951,0,0,0,0,0,0,0,0,FAILURE,8.65955E+11
44:85:00:c5:67:3c,1496404358243947,0,0,0,0,0,0,0,0,FAILURE,8.65955E+11
e4:b3:18:9f:bf:b4,1496404358810027,0,0,0,0,0,0,0,0,FAILURE,8.65955E+11
44:85:00:c5:6c:19,1496404358412118,87,0,0,0,0,2015,0,0,SUCCESS,8.65955E+11
44:85:00:c5:69:a8,1496404358810018,0,0,0,0,0,0,0,0,FAILURE,8.65955E+11
44:85:00:c5:67:37,1496404358810042,0,0,0,0,0,0,0,0,FAILURE,8.65955E+11
e4:b3:18:9f:c1:4e,1496404358810009,0,0,0,0,0,0,0,0,FAILURE,8.65955E+11
e4:b3:18:9f:c1:99,1496404358976522,0,0,0,0,0,0,0,0,FAILURE,8.65955E+11
e4:b3:18:9f:bf:af,1496404359667469,0,0,0,0,0,0,0,0,FAILURE,8.65956E+11
e4:b3:18:9f:c0:36,1496404359667465,0,0,0,0,0,0,0,0,FAILURE,8.65956E+11
e4:b3:18:9f:bf:96,1496404359516103,76,0,0,0,0,1244,0,0,SUCCESS,8.65956E+11
e4:b3:18:9f:c1:8f,1496404359667459,0,0,0,0,0,0,0,0,FAILURE,8.65956E+11
e4:b3:18:9f:c0:04,1496404359656135,58,0,0,0,0,782,0,0,SUCCESS,8.65956E+11
e4:b3:18:9f:c0:18,1496404359705712,55,0,0,0,0,525,0,0,SUCCESS,8.65956E+11
e4:b3:18:9f:bf:87,1496404359718264,77,0,0,0,0,1632,0,0,SUCCESS,8.65956E+11
e4:b3:18:9f:c0:b3,1496404360114039,0,0,0,0,0,0,0,0,FAILURE,8.65957E+11
44:85:00:c5:69:d5,1496404360114035,0,0,0,0,0,0,0,0,FAILURE,8.65957E+11
44:85:00:c5:67:3c,1496404360114034,0,0,0,0,0,0,0,0,FAILURE,8.65957E+11
e4:b3:18:9f:bf:b4,1496404360148957,85,0,0,0,0,1452,0,0,SUCCESS,8.65957E+11
44:85:00:c5:6c:19,1496404360673169,0,0,0,0,0,0,0,0,FAILURE,8.65957E+11
44:85:00:c5:69:a8,1496404360673167,0,0,0,0,0,0,0,0,FAILURE,8.65957E+11
44:85:00:c5:67:37,1496404360673163,0,0,0,0,0,0,0,0,FAILURE,8.65957E+11
