mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:bf:af,1496403591012545,0,0,0,0,0,0,0,0,FAILURE,8.65188E+11
e4:b3:18:9f:c0:36,1496403591012541,0,0,0,0,0,0,0,0,FAILURE,8.65188E+11
e4:b3:18:9f:bf:96,1496403590974525,65,0,0,0,0,1243,0,0,SUCCESS,8.65187E+11
e4:b3:18:9f:c1:8f,1496403590987908,69,0,0,0,0,3936,0,0,SUCCESS,8.65187E+11
e4:b3:18:9f:c0:04,1496403591001034,50,0,0,0,0,210,0,0,SUCCESS,8.65188E+11
e4:b3:18:9f:c0:18,1496403591050174,57,0,0,0,0,472,0,0,SUCCESS,8.65188E+11
e4:b3:18:9f:bf:87,1496403591574868,0,0,0,0,0,0,0,0,FAILURE,8.65188E+11
e4:b3:18:9f:c0:b3,1496403591574809,0,0,0,0,0,0,0,0,FAILURE,8.65188E+11
44:85:00:c5:69:d5,1496403591574803,0,0,0,0,0,0,0,0,FAILURE,8.65188E+11
44:85:00:c5:67:3c,1496403591574801,0,0,0,0,0,0,0,0,FAILURE,8.65188E+11
e4:b3:18:9f:bf:b4,1496403592146502,0,0,0,0,0,0,0,0,FAILURE,8.65189E+11
44:85:00:c5:6c:19,1496403591746236,86,0,0,0,0,1479,0,0,SUCCESS,8.65188E+11
44:85:00:c5:69:a8,1496403592146492,0,0,0,0,0,0,0,0,FAILURE,8.65189E+11
44:85:00:c5:67:37,1496403592146486,0,0,0,0,0,0,0,0,FAILURE,8.65189E+11
e4:b3:18:9f:c1:4e,1496403592146482,0,0,0,0,0,0,0,0,FAILURE,8.65189E+11
e4:b3:18:9f:c1:99,1496403592309991,0,0,0,0,0,0,0,0,FAILURE,8.65189E+11
e4:b3:18:9f:bf:af,1496403592885422,0,0,0,0,0,0,0,0,FAILURE,8.65189E+11
e4:b3:18:9f:c0:36,1496403592885388,0,0,0,0,0,0,0,0,FAILURE,8.65189E+11
e4:b3:18:9f:bf:96,1496403592848879,68,0,0,0,0,1171,0,0,SUCCESS,8.65189E+11
e4:b3:18:9f:c1:8f,1496403592861172,77,0,0,0,0,3906,0,0,SUCCESS,8.65189E+11
e4:b3:18:9f:c0:04,1496403592874153,51,0,0,0,0,230,0,0,SUCCESS,8.65189E+11
e4:b3:18:9f:c0:18,1496403592921870,55,0,0,0,0,532,0,0,SUCCESS,8.65189E+11
e4:b3:18:9f:bf:87,1496403593446109,0,0,0,0,0,0,0,0,FAILURE,8.6519E+11
e4:b3:18:9f:c0:b3,1496403593446104,0,0,0,0,0,0,0,0,FAILURE,8.6519E+11
44:85:00:c5:69:d5,1496403593446128,0,0,0,0,0,0,0,0,FAILURE,8.6519E+11
44:85:00:c5:67:3c,1496403593446094,0,0,0,0,0,0,0,0,FAILURE,8.6519E+11
e4:b3:18:9f:bf:b4,1496403594125766,0,0,0,0,0,0,0,0,FAILURE,8.65191E+11
44:85:00:c5:6c:19,1496403594125761,0,0,0,0,0,0,0,0,FAILURE,8.65191E+11
44:85:00:c5:69:a8,1496403594125755,0,0,0,0,0,0,0,0,FAILURE,8.65191E+11
