mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:bf:af,1496405351927758,76,0,0,0,0,675,0,0,SUCCESS,8.66948E+11
e4:b3:18:9f:c0:36,1496405351940535,78,0,0,0,0,633,0,0,SUCCESS,8.66948E+11
e4:b3:18:9f:bf:96,1496405351953569,60,0,0,0,0,463,0,0,SUCCESS,8.66948E+11
e4:b3:18:9f:c1:8f,1496405351965880,74,0,0,0,0,2959,0,0,SUCCESS,8.66948E+11
e4:b3:18:9f:c0:04,1496405351978334,73,0,0,0,0,1470,0,0,SUCCESS,8.66948E+11
e4:b3:18:9f:c0:18,1496405352029132,67,0,0,0,0,1639,0,0,SUCCESS,8.66949E+11
e4:b3:18:9f:bf:87,1496405352042163,74,0,0,0,0,633,0,0,SUCCESS,8.66949E+11
e4:b3:18:9f:c0:b3,1496405352219046,0,0,0,0,0,0,0,0,FAILURE,8.66949E+11
44:85:00:c5:69:d5,1496405352182580,79,0,0,0,0,1694,0,0,SUCCESS,8.66949E+11
44:85:00:c5:67:3c,1496405352207185,79,0,0,0,0,1456,0,0,SUCCESS,8.66949E+11
e4:b3:18:9f:bf:b4,1496405352895149,0,0,0,0,0,0,0,0,FAILURE,8.66949E+11
44:85:00:c5:6c:19,1496405352895147,0,0,0,0,0,0,0,0,FAILURE,8.66949E+11
44:85:00:c5:69:a8,1496405352895142,0,0,0,0,0,0,0,0,FAILURE,8.66949E+11
44:85:00:c5:67:37,1496405352895134,0,0,0,0,0,0,0,0,FAILURE,8.66949E+11
e4:b3:18:9f:c1:4e,1496405352895132,0,0,0,0,0,0,0,0,FAILURE,8.66949E+11
e4:b3:18:9f:c1:99,1496405353058112,0,0,0,0,0,0,0,0,FAILURE,8.6695E+11
e4:b3:18:9f:bf:af,1496405353340440,76,0,0,0,0,723,0,0,SUCCESS,8.6695E+11
e4:b3:18:9f:c0:36,1496405353353164,73,0,0,0,0,727,0,0,SUCCESS,8.6695E+11
e4:b3:18:9f:bf:96,1496405353365305,56,0,0,0,0,407,0,0,SUCCESS,8.6695E+11
e4:b3:18:9f:c1:8f,1496405353386213,72,0,0,0,0,2985,0,0,SUCCESS,8.6695E+11
e4:b3:18:9f:c0:04,1496405353398839,73,0,0,0,0,1631,0,0,SUCCESS,8.6695E+11
e4:b3:18:9f:c0:18,1496405353448985,63,0,0,0,0,1637,0,0,SUCCESS,8.6695E+11
e4:b3:18:9f:bf:87,1496405353461439,77,0,0,0,0,588,0,0,SUCCESS,8.6695E+11
e4:b3:18:9f:c0:b3,1496405353640009,0,0,0,0,0,0,0,0,FAILURE,8.6695E+11
44:85:00:c5:69:d5,1496405353602044,74,0,0,0,0,1710,0,0,SUCCESS,8.6695E+11
44:85:00:c5:67:3c,1496405353627594,81,0,0,0,0,1421,0,0,SUCCESS,8.6695E+11
e4:b3:18:9f:bf:b4,1496405353680306,85,0,0,0,0,761,0,0,SUCCESS,8.6695E+11
44:85:00:c5:6c:19,1496405354204002,0,0,0,0,0,0,0,0,FAILURE,8.66951E+11
44:85:00:c5:69:a8,1496405354204042,0,0,0,0,0,0,0,0,FAILURE,8.66951E+11
44:85:00:c5:67:37,1496405354203992,0,0,0,0,0,0,0,0,FAILURE,8.66951E+11
e4:b3:18:9f:c1:4e,1496405354203991,0,0,0,0,0,0,0,0,FAILURE,8.66951E+11
e4:b3:18:9f:c1:99,1496405354371007,0,0,0,0,0,0,0,0,FAILURE,8.66951E+11
e4:b3:18:9f:bf:af,1496405354655089,77,0,0,0,0,951,0,0,SUCCESS,8.66951E+11
e4:b3:18:9f:c0:36,1496405354667628,78,0,0,0,0,642,0,0,SUCCESS,8.66951E+11
