mac,time,a,b,c,d,e,range,,f,status,g
44:85:00:c5:67:37,1496399980999119,50,0,0,0,0,239,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399981138709,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399981307065,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496399982113498,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399982113442,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399982113429,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496399982113429,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399982101636,68,0,0,0,0,1466,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399982164087,82,0,0,0,0,2644,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496399982690505,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399982690428,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399982690423,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496399982690421,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399982740773,83,0,0,0,0,819,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399983033590,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:a8,1496399982880876,75,0,0,0,0,545,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496399982893735,60,0,0,0,0,475,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399983033602,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399983198437,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496399984005241,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399984005162,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399984005154,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
