mac,time,a,b,c,d,e,range,,f,status,g
44:85:00:c5:6a:fc,1496391829995909,40,0,0,0,0,-73,0,0,SUCCESS,8.53E+11
44:85:00:c5:69:da,1496391830420765,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
44:85:00:c5:6b:74,1496391830420758,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
44:85:00:c5:6b:83,1496391830420758,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
e4:b3:18:c3:63:15,1496391830420774,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
e4:b3:18:9f:bf:a5,1496391830457546,82,0,0,0,0,3018,0,0,SUCCESS,8.53E+11
e4:b3:18:9f:c1:8a,1496391830867473,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
e4:b3:18:9f:bf:91,1496391830597939,81,0,0,0,0,3819,0,0,SUCCESS,8.53E+11
44:85:00:c5:6b:6f,1496391830867466,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
e4:b3:18:9f:c1:53,1496391830867463,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
44:85:00:c5:6b:7e,1496391831539529,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
44:85:00:c5:6a:e8,1496391831539526,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
e4:b3:18:9f:c0:d6,1496391831539522,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
44:85:00:c5:6a:de,1496391831539517,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
44:85:00:c5:6b:10,1496391831539514,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
e4:b3:18:9f:bf:f5,1496391831701302,0,0,0,0,0,0,0,0,FAILURE,8.53E+11
44:85:00:c5:6a:fc,1496391832731179,39,0,0,0,0,41,0,0,SUCCESS,8.53429E+11
44:85:00:c5:69:da,1496391833139525,0,0,0,0,0,0,0,0,FAILURE,8.5343E+11
44:85:00:c5:6b:74,1496391832871524,83,0,0,0,0,1022,0,0,SUCCESS,8.53429E+11
44:85:00:c5:6b:83,1496391833139513,0,0,0,0,0,0,0,0,FAILURE,8.5343E+11
e4:b3:18:c3:63:15,1496391833139511,0,0,0,0,0,0,0,0,FAILURE,8.5343E+11
e4:b3:18:9f:bf:a5,1496391833175783,79,0,0,0,0,3184,0,0,SUCCESS,8.5343E+11
e4:b3:18:9f:c1:8a,1496391833594690,0,0,0,0,0,0,0,0,FAILURE,8.5343E+11
e4:b3:18:9f:bf:91,1496391833326220,84,0,0,0,0,3701,0,0,SUCCESS,8.5343E+11
44:85:00:c5:6b:6f,1496391833594622,0,0,0,0,0,0,0,0,FAILURE,8.5343E+11
e4:b3:18:9f:c1:53,1496391833594620,0,0,0,0,0,0,0,0,FAILURE,8.5343E+11
44:85:00:c5:6b:7e,1496391834269318,0,0,0,0,0,0,0,0,FAILURE,8.53431E+11
44:85:00:c5:6a:e8,1496391834269313,0,0,0,0,0,0,0,0,FAILURE,8.53431E+11
e4:b3:18:9f:c0:d6,1496391834269312,0,0,0,0,0,0,0,0,FAILURE,8.53431E+11
44:85:00:c5:6a:de,1496391834269310,0,0,0,0,0,0,0,0,FAILURE,8.53431E+11
44:85:00:c5:6b:10,1496391834269307,0,0,0,0,0,0,0,0,FAILURE,8.53431E+11
e4:b3:18:9f:bf:f5,1496391834414859,0,0,0,0,0,0,0,0,FAILURE,8.53431E+11
44:85:00:c5:6a:fc,1496391835442478,45,0,0,0,0,87,0,0,SUCCESS,8.53432E+11
44:85:00:c5:69:da,1496391835734726,0,0,0,0,0,0,0,0,FAILURE,8.53432E+11
44:85:00:c5:6b:74,1496391835582751,81,0,0,0,0,1172,0,0,SUCCESS,8.53432E+11
44:85:00:c5:6b:83,1496391835595135,83,0,0,0,0,2108,0,0,SUCCESS,8.53432E+11
e4:b3:18:c3:63:15,1496391835734707,0,0,0,0,0,0,0,0,FAILURE,8.53432E+11
e4:b3:18:9f:bf:a5,1496391835773092,83,0,0,0,0,3308,0,0,SUCCESS,8.53432E+11
e4:b3:18:9f:c1:8a,1496391836296761,0,0,0,0,0,0,0,0,FAILURE,8.53433E+11
e4:b3:18:9f:bf:91,1496391836296758,0,0,0,0,0,0,0,0,FAILURE,8.53433E+11
44:85:00:c5:6b:6f,1496391836296754,0,0,0,0,0,0,0,0,FAILURE,8.53433E+11
e4:b3:18:9f:c1:53,1496391836296750,0,0,0,0,0,0,0,0,FAILURE,8.53433E+11
44:85:00:c5:6b:7e,1496391836974991,0,0,0,0,0,0,0,0,FAILURE,8.53434E+11
44:85:00:c5:6a:e8,1496391836974985,0,0,0,0,0,0,0,0,FAILURE,8.53434E+11
e4:b3:18:9f:c0:d6,1496391836974982,0,0,0,0,0,0,0,0,FAILURE,8.53434E+11
44:85:00:c5:6a:de,1496391836974976,0,0,0,0,0,0,0,0,FAILURE,8.53434E+11
44:85:00:c5:6b:10,1496391836975002,0,0,0,0,0,0,0,0,FAILURE,8.53434E+11
e4:b3:18:9f:bf:f5,1496391837140324,0,0,0,0,0,0,0,0,FAILURE,8.53434E+11
44:85:00:c5:6a:fc,1496391838170744,46,0,0,0,0,96,0,0,SUCCESS,8.53435E+11
44:85:00:c5:69:da,1496391838578486,0,0,0,0,0,0,0,0,FAILURE,8.53435E+11
44:85:00:c5:6b:74,1496391838310920,84,0,0,0,0,858,0,0,SUCCESS,8.53435E+11
44:85:00:c5:6b:83,1496391838578469,0,0,0,0,0,0,0,0,FAILURE,8.53435E+11
e4:b3:18:c3:63:15,1496391838578436,0,0,0,0,0,0,0,0,FAILURE,8.53435E+11
e4:b3:18:9f:bf:a5,1496391839255261,0,0,0,0,0,0,0,0,FAILURE,8.53436E+11
e4:b3:18:9f:c1:8a,1496391839255258,0,0,0,0,0,0,0,0,FAILURE,8.53436E+11
e4:b3:18:9f:bf:91,1496391839255255,0,0,0,0,0,0,0,0,FAILURE,8.53436E+11
44:85:00:c5:6b:6f,1496391839255252,0,0,0,0,0,0,0,0,FAILURE,8.53436E+11
e4:b3:18:9f:c1:53,1496391839255245,0,0,0,0,0,0,0,0,FAILURE,8.53436E+11
44:85:00:c5:6b:7e,1496391839926705,0,0,0,0,0,0,0,0,FAILURE,8.53436E+11
