mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:bf:a5,1496393066109105,55,0,0,0,0,688,0,0,SUCCESS,8.54663E+11
e4:b3:18:9f:c1:8a,1496393066121450,67,0,0,0,0,1252,0,0,SUCCESS,8.54663E+11
e4:b3:18:9f:bf:91,1496393066134281,54,0,0,0,0,491,0,0,SUCCESS,8.54663E+11
44:85:00:c5:6b:6f,1496393066413442,0,0,0,0,0,0,0,0,FAILURE,8.54663E+11
e4:b3:18:9f:c1:53,1496393066413440,0,0,0,0,0,0,0,0,FAILURE,8.54663E+11
44:85:00:c5:6b:7e,1496393067089296,0,0,0,0,0,0,0,0,FAILURE,8.54664E+11
44:85:00:c5:6a:e8,1496393067089253,0,0,0,0,0,0,0,0,FAILURE,8.54664E+11
e4:b3:18:9f:c0:d6,1496393067089249,0,0,0,0,0,0,0,0,FAILURE,8.54664E+11
44:85:00:c5:6a:de,1496393067089308,0,0,0,0,0,0,0,0,FAILURE,8.54664E+11
44:85:00:c5:6b:10,1496393067089242,0,0,0,0,0,0,0,0,FAILURE,8.54664E+11
e4:b3:18:9f:bf:f5,1496393067138432,82,0,0,0,0,1717,0,0,SUCCESS,8.54664E+11
44:85:00:c5:6a:fc,1496393069179645,75,0,0,0,0,2807,0,0,SUCCESS,8.54666E+11
44:85:00:c5:69:da,1496393069590308,0,0,0,0,0,0,0,0,FAILURE,8.54666E+11
44:85:00:c5:6b:74,1496393069590253,0,0,0,0,0,0,0,0,FAILURE,8.54666E+11
44:85:00:c5:6b:83,1496393069447923,76,0,0,0,0,554,0,0,SUCCESS,8.54666E+11
e4:b3:18:c3:63:15,1496393069590246,0,0,0,0,0,0,0,0,FAILURE,8.54666E+11
e4:b3:18:9f:bf:a5,1496393069627077,58,0,0,0,0,516,0,0,SUCCESS,8.54666E+11
e4:b3:18:9f:c1:8a,1496393069639587,68,0,0,0,0,1247,0,0,SUCCESS,8.54666E+11
e4:b3:18:9f:bf:91,1496393069651982,57,0,0,0,0,472,0,0,SUCCESS,8.54666E+11
44:85:00:c5:6b:6f,1496393069919724,0,0,0,0,0,0,0,0,FAILURE,8.54666E+11
e4:b3:18:9f:c1:53,1496393069919724,0,0,0,0,0,0,0,0,FAILURE,8.54666E+11
44:85:00:c5:6b:7e,1496393070589101,0,0,0,0,0,0,0,0,FAILURE,8.54667E+11
44:85:00:c5:6a:e8,1496393070589055,0,0,0,0,0,0,0,0,FAILURE,8.54667E+11
e4:b3:18:9f:c0:d6,1496393070589050,0,0,0,0,0,0,0,0,FAILURE,8.54667E+11
44:85:00:c5:6a:de,1496393070589047,0,0,0,0,0,0,0,0,FAILURE,8.54667E+11
44:85:00:c5:6b:10,1496393070589042,0,0,0,0,0,0,0,0,FAILURE,8.54667E+11
e4:b3:18:9f:bf:f5,1496393070628184,81,0,0,0,0,1857,0,0,SUCCESS,8.54667E+11
44:85:00:c5:6a:fc,1496393072686780,69,0,0,0,0,2572,0,0,SUCCESS,8.54669E+11
44:85:00:c5:69:da,1496393073094798,0,0,0,0,0,0,0,0,FAILURE,8.5467E+11
44:85:00:c5:6b:74,1496393073094746,0,0,0,0,0,0,0,0,FAILURE,8.5467E+11
44:85:00:c5:6b:83,1496393072955270,71,0,0,0,0,372,0,0,SUCCESS,8.54669E+11
