,lat,long
0,32.10879742485616,34.80557157508902
1,32.10892623675515,34.80531695601709
2,32.10891846905712,34.80530662306418
3,32.10896870478933,34.80519446326349
4,32.10891504181017,34.80515025005026
5,32.10893609044739,34.80509761267658
6,32.10889539192681,34.8050636444325
7,32.1086803198613,34.8049041214022
8,32.1086268264465,34.80499456976158
9,32.10864551252897,34.80500533218118
10,32.10863875792026,34.80503089597052
11,32.10878467381639,34.80514248346354
12,32.10875985195005,34.80519820408232
13,32.10876945340055,34.80520655152223
14,32.10865064054836,34.80546652200764
